BindingDB_Reactant_set_id,IC50_nM
218769,0.029
218737,0.052
218768,0.056
218738,0.056
218773,0.061
50980253,0.1
50980252,0.1
218741,0.11
218742,0.13
35534,0.13
218734,0.15
218770,0.155
218730,0.167
51085845,0.2
34782,0.2
34781,0.2
34778,0.2
218728,0.205
35695,0.21
35536,0.23
251080,0.296
34777,0.3
261424,0.3
50980255,0.3
34771,0.3
34772,0.3
261408,0.3
218776,0.305
218705,0.31
11815,0.32
419798,0.322
251100,0.328
218732,0.335
251110,0.34
218735,0.355
218774,0.365
251081,0.367
419797,0.375
262288,0.377
419800,0.382
419768,0.393
419769,0.398
261407,0.4
34767,0.4
261423,0.4
261425,0.4
34776,0.4
261427,0.4
50980258,0.4
251097,0.403
251129,3.328
393548,3.4
393585,3.4
393556,3.4
50580969,3.4
419790,3.466
262299,3.478
50980224,3.5
393567,3.5
393603,3.5
262298,3.542
218746,3.55
50580964,3.6
393617,3.6
393575,3.6
218712,3.6
393581,3.6
262272,3.687
393623,3.7
261416,3.7
251079,3.783
393559,3.8
393620,3.8
261384,3.8
50580965,3.8
262274,3.823
262302,3.826
261388,3.9
50587287,3.9
50587790,3.9
50244173,3.9
393587,3.9
393619,4
50431407,4
50425396,4
50980265,4
218745,4
218710,4
261404,4.1
262303,4.161
50980232,4.2
393547,4.2
261411,4.2
419782,4.24
419811,4.268
393631,4.3
50580970,4.3
218765,4.372
50580958,4.4
262291,4.445
77298,4.46333
393576,4.5
393605,4.5
50587289,4.5
50586894,4.5
262289,4.56
262307,4.597
50980231,4.6
50219009,4.6
393568,4.7
393557,4.7
50610437,4.8
393579,4.8
50651445,4.9
50980216,4.9
218727,4.967
50980278,5
50219817,5
50219850,5
45538,5
34779,5
50281513,5
50431416,5
50431415,5
218759,5.068
50980222,5.2
50280487,5.2
35828,5.3
218713,5.35
50980215,5.4
251117,5.426
262304,5.455
50580957,5.5
262294,5.501
50580974,5.6
218715,5.6
218739,5.6
50980214,5.6
50580983,5.7
50980213,5.7
50580988,5.8
50580976,5.9
50980212,5.9
251118,5.982
50431418,6
50219823,6
50425385,6
50420123,6
50420121,6
50580985,6
50219835,6
50587282,6
50586893,6
50980269,6
51085848,6
393571,6.1
50580981,6.1
393549,6.2
