BindingDB Reactant_set_id,IC50 (nM)
50212607,3.5
31985,3.5
50433410,3.5
266625,784
266675,784
266585,785
266662,789
14940,790
50385036,790
50419222,790
50722411,790
259893,790
50369357,790
50446869,790
50882516,791
50066924,792
51028690,794.33
51017518,794.33
51028708,794.33
50376897,797
266700,797
50927811,800
50654323,800
50427172,800
50424091,800
50450194,800
50929094,800
50625485,800
50252225,800
50879032,800
27399,800
6910,800
6914,800
50450123,800
50574561,800
50329313,803
37949,806
27396,810
50424101,810
50419257,810
50631418,818
50708017,820
259859,820
259849,820
50369614,820
50390540,820
50446884,820
218187,820
266678,823
266668,823
50950737,827
50424093,830
50369174,830
50628159,830
50628150,830
259855,830
50461236,832
14435,832
50285006,840
50129478,840
50319546,840
50300718,840
50445838,840
50461248,840
389211,8.40E+02
50628057,840
50478064,840
259765,847
50552082,849
50385123,850
50927826,850
50927725,850
260774,850
266670,853
266646,853
266591,854
266655,854
266676,856
266641,857
50461237,857
50847657,858.2
16101,860
389213,8.60E+02
50446325,860
50549326,860
50949738,860
357201,862
50450251,863
50461249,865
50424056,870
50424066,870
50846383,870
9428,870
9434,870
50449869,870
50463858,870
50066761,870
227976,8.70E+02
50600027,870
7451,870
266595,875
50450207,880
50714225,882
50066637,882
50809278,884
50561421,885
50469048,886
50866786,888
50446886,890
27400,890
260775,890
50478016,890
50499956,890
266579,895
50369271,895
358605,897
50165009,900
50323240,900
50165006,900
50266755,910
218171,910
51045813,910
50369392,910
50461247,918
198668,920
7511,920
50369522,920
50380075,920
50369469,920
410843,920
50950648,922
50449176,930
259891,930
9430,930
8497,930
50348499,930
50337873,930
50369379,930
50369463,930
50419226,930
50445986,930
50361599,933
50177640,938
50600026,940
50385149,940
50424075,940
50446326,940
50561423,941
50378432,943
389857,945
266644,945
266657,945
48121,947
7465,950
50424064,950
259665,950
50385169,950
266650,951
50866784,951
266677,954
266593,954
266607,954
266600,954
259925,956
266667,958
50449864,960
50330388,960
50410633,960
50381993,962
357185,962
266638,965
50631422,965
50390514,970
259777,980
50449185,980
50446327,980
266698,984
176885,985
50408176,988
50631415,989
9423,990
50332235,990
327883,990
266640,995
266639,997
50158754,1000
22205,1000
8621,1000
7508,1000
50632265,1000
50628130,1000
50628143,1000
50622219,1000
50581399,1000
50574569,1000
50434170,1000
50446328,1000
50449860,1000
50424102,1000
50424109,1000
50385231,1000
50381979,1000
50385210,1000
50388098,1000
50388033,1000
50369424,1000
50317093,1000
50846414,1000
50836022,1000
50164957,1000
62513,1000
259871,1000
51045772,1000
51049486,1000
51028683,1000
51028640,1000
51028645,1000
50927839,1000
50951039,1000
50927777,1000
50929084,1000
50929086,1000
50478058,1000
50348991,1000
272107,1000
272110,1000
50378421,1002
50847721,1009
27398,1010
259769,1010
50432598,1012
50561432,1015
50581387,1015
14428,1020
27397,1030
50511560,1030
50446859,1040
50929104,1050
50385080,1050
50330417,1050
50348460,1050
50579440,1058
50369355,1060
50369567,1060
50161960,1060
50313087,1067
50388051,1070
50165012,1080
16102,1080
50981106,1080
50300688,1080
51017463,1096.48
50428637,1100
6924,1100
50428642,1100
50424060,1100
50445845,1100
50574566,1100
50628109,1100
50477923,1100
50929107,1100
50929099,1100
9467,1100
14929,1100
27394,1100
50158718,1100
50252243,1100
50846384,1100
50277003,1100
50319520,1100
50369473,1110
10064,1110
50446865,1110
50369564,1110
50427173,1110
259805,1110
50561448,1113
266699,1117
272104,1117
50858198,1120
9388,1120
50369406,1120
357199,1121
51017515,1122.02
48122,1123
50378424,1126
51028802,1134
44429,1134
50432975,1140
50369401,1140
50066702,1144
50434286,1145
50446856,1150
50330397,1150
50432983,1160
50408173,1160
409009,1174
412677,1180
273911,1180
10065,1180
50948860,1180
50385048,1190
50449144,1190
50207536,1190
14891,1190
50478033,1200
9946,1200
9427,1200
12035,1200
22208,1200
50310497,1200
50319543,1200
50348492,1200
50377839,1200
50449852,1200
50445835,1200
50549332,1200
50908430,1200
50544482,1200
50924865,1200
51051138,1200
259695,1200
259820,1200
50329756,1200
50353639,1200
421731,1200
409030,1209
410846,1209
280966,1210
50369370,1220
50449130,1220
50385074,1220
50369418,1230
10068,1230
50882510,1230
357146,1248
50369363,1250
16094,1250
412687,1250
273921,1250
50369515,1250
51028637,1258.93
51028648,1258.93
51028685,1258.93
7521,1260
50369485,1260
50329207,1274
8560,1274
50930965,1277
357200,1280
50390518,1280
50847665,1285
50445871,1300
50377902,1300
50203803,1300
50653080,1300
50924862,1300
410844,1300
50581423,1300
421735,1300
406607,1300
7436,1300
27471,1300
50266681,1300
259923,1300
259930,1300
50319509,1300
323923,3.5
50405846,3.5
323936,3.6
50066749,3.6
50856133,3.7
51059770,3.7
50114985,3.7
50600052,3.7
50600047,3.7
50066909,3.7
410086,3.73
50106757,3.8
50856145,3.8
50600101,3.8
50865979,3.8
51017631,3.8
51017630,3.8
50656574,3.8
50607380,3.8
50856090,3.8
50066640,3.8
50106756,3.8
50865974,3.8
410054,3.9
50066641,3.9
50856096,3.9
50106758,3.9
51017579,3.98
9425,4
9907,4
8608,4
7611,4
8529,4
8531,4
6923,4
50930497,4
50216172,4
50862596,4
50931247,4
50866137,4
50866761,4
50863668,4
50856126,4
50856149,4
50600089,4
50600102,4
50561407,4
50609534,4
50609540,4
50609544,4
50478026,1300
51056826,1300
51051139,1300
357142,1308
50165048,1310
50385065,1310
50882511,1312
50385145,1320
50385056,1340
259657,1340
227985,1.34E+03
50369459,1340
50475498,1340
7512,1350
50369451,1350
50390506,1350
50285175,1360
50247851,1360
50369484,1360
50561446,1364
50561420,1365
50630460,1370
50552288,1370
259763,1380
259789,1380
50579718,1380
10070,1380
231565,1382
50408174,1390
50847694,1397
50202788,1400
50846380,1400
